Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Business address,Number of patrons,x coordinate,y coordinate,Location
2009,57,101216,101216,21-25 Croft Alley MELBOURNE 3000,Melbourne (CBD),21-25 Croft Alley MELBOURNE 3000,250,144.9691,-37.8121,POINT (144.9691 -37.8121)
2009,57,101217,101217,124-128 Bourke Street MELBOURNE 3000,Melbourne (CBD),"Ground , 124-128 Bourke Street MELBOURNE 3000",350,144.9693,-37.8121,POINT (144.9693 -37.8121)
2009,57,101218,101218,118-122 Bourke Street MELBOURNE 3000,Melbourne (CBD),"Level 1, 118-122 Bourke Street MELBOURNE 3000",72,144.9695,-37.8121,POINT (144.9695 -37.8121)
2009,57,101219,101219,100-116 Bourke Street MELBOURNE 3000,Melbourne (CBD),"Suite 12, Basement , 108 Bourke Street MELBOURNE 3000",350,144.9701,-37.8118,POINT (144.9701 -37.8118)
2009,57,106433,106433,18-24 Market Lane MELBOURNE 3000,Melbourne (CBD),"Floor 1, 18 Market Lane MELBOURNE 3000",396,144.9694,-37.8118,POINT (144.9694 -37.8118)
2009,58,101238,101238,2-8 Bourke Street MELBOURNE 3000,Melbourne (CBD),2-8 Bourke Street MELBOURNE 3000,300,144.9727,-37.8112,POINT (144.9727 -37.8112)
2009,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",100,144.9706,-37.8112,POINT (144.9706 -37.8112)
2009,58,105657,105657,21 Liverpool Street MELBOURNE 3000,Melbourne (CBD),21 Liverpool Street MELBOURNE 3000,164,144.9713,-37.8112,POINT (144.9713 -37.8112)
2009,58,105828,105828,19-25 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),19 Little Bourke Street MELBOURNE 3000,350,144.9720,-37.8107,POINT (144.972 -37.8107)
2009,58,108986,108986,161 Spring Street MELBOURNE 3000,Melbourne (CBD),161 Spring Street MELBOURNE 3000,703,144.9724,-37.8110,POINT (144.9724 -37.811)
2009,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),597-603 Lonsdale Street MELBOURNE 3000,675,144.9545,-37.8149,POINT (144.9545 -37.8149)
2009,61,105858,105858,590-592 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),590-592 Little Bourke Street MELBOURNE 3000,700,144.9547,-37.8153,POINT (144.9547 -37.8153)
2009,62,105384,105384,204-208 King Street MELBOURNE 3000,Melbourne (CBD),204-208 King Street MELBOURNE 3000,390,144.9555,-37.8152,POINT (144.9555 -37.8152)
2009,64,104376,104376,14-20 Goldie Place MELBOURNE 3000,Melbourne (CBD),14-20 Goldie Place MELBOURNE 3000,200,144.9607,-37.8133,POINT (144.9607 -37.8133)
2009,64,104659,104659,67-73 Hardware Lane MELBOURNE 3000,Melbourne (CBD),"Basement , 67 Hardware Lane MELBOURNE 3000",143,144.9609,-37.8132,POINT (144.9609 -37.8132)
2009,64,104659,104659,67-73 Hardware Lane MELBOURNE 3000,Melbourne (CBD),"Ground , 67-73 Hardware Lane MELBOURNE 3000",119,144.9609,-37.8132,POINT (144.9609 -37.8132)
2009,64,515538,515538,4-6 Goldie Place MELBOURNE 3000,Melbourne (CBD),"Part Ground , 6 Goldie Place MELBOURNE 3000",120,144.9608,-37.8135,POINT (144.9608 -37.8135)
2009,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),2 Little Bourke Street MELBOURNE 3000,85,144.9631,-37.8129,POINT (144.9631 -37.8129)
2009,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),"Basement , 318 Little Bourke Street MELBOURNE 3000",55,144.9631,-37.8129,POINT (144.9631 -37.8129)
2009,66,105694,105694,233-237 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),"Floor 1, 233-237 Lonsdale Street MELBOURNE 3000",300,144.9655,-37.8116,POINT (144.9655 -37.8116)
2009,66,105878,105878,242-244 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),"Unit 1, Ground , 242 Little Bourke Street MELBOURNE 3000",209,144.9656,-37.8121,POINT (144.9656 -37.8121)
2009,66,108547,108547,199-203 Russell Street MELBOURNE 3000,Melbourne (CBD),199-203 Russell Street MELBOURNE 3000,300,144.9673,-37.8118,POINT (144.9673 -37.8118)
2009,66,108550,108550,213-217 Russell Street MELBOURNE 3000,Melbourne (CBD),"Floor 1, 217-217 Russell Street MELBOURNE 3000",100,144.9672,-37.8116,POINT (144.9672 -37.8116)
2009,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),"Unit , Level 1, 252 Swanston Street MELBOURNE 3000",300,144.9653,-37.8120,POINT (144.9653 -37.812)
2009,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),"Unit , Level 2, 252 Swanston Street MELBOURNE 3000",345,144.9653,-37.8120,POINT (144.9653 -37.812)
2009,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),"Unit , Level 7, 252 Swanston Street MELBOURNE 3000",200,144.9653,-37.8120,POINT (144.9653 -37.812)
2009,66,109436,109436,27-29 Tattersalls Lane MELBOURNE 3000,Melbourne (CBD),27-29 Tattersalls Lane MELBOURNE 3000,100,,,
2009,66,109952,109952,7-9 Waratah Place MELBOURNE 3000,Melbourne (CBD),"Level 1, 7-9 Waratah Place MELBOURNE 3000",80,144.9670,-37.8116,POINT (144.967 -37.8116)
2009,67,102198,102198,22-26 Corrs Lane MELBOURNE 3000,Melbourne (CBD),"Level 1, 22-26 Corrs Lane MELBOURNE 3000",200,144.9683,-37.8110,POINT (144.9683 -37.811)
2009,67,102199,102199,16-20 Corrs Lane MELBOURNE 3000,Melbourne (CBD),16-20 Corrs Lane MELBOURNE 3000,569,144.9684,-37.8111,POINT (144.9684 -37.8111)
2009,67,105675,105675,113 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),"Ground , 113 Lonsdale Street MELBOURNE 3000",160,144.9690,-37.8106,POINT (144.969 -37.8106)
